X  CH2  CH3  Start  Increment  
Sequence  Volt  Volt  -1.200000e-03  2.000000e-06  
285  -0.64  -0.0036  -0.00063  2e-06  
286  -0.68  -0.0032  -0.000628  2e-06  
287  -0.64  -0.0036  -0.000626  2e-06  
288  -0.68  -0.0032  -0.000624  2e-06  
289  -0.6  -0.004  -0.000622  2e-06  
290  -0.68  -0.0036  -0.00062  2e-06  
291  -0.6  -0.0044  -0.000618  2e-06  
292  -0.64  -0.004  -0.000616  2e-06  
293  -0.6  -0.0048  -0.000614  2e-06  
294  -0.64  -0.0044  -0.000612  2e-06  
295  -0.56  -0.0052  -0.00061  2e-06  
296  -0.64  -0.0048  -0.000608  2e-06  
297  -0.56  -0.0056  -0.000606  2e-06  
298  -0.6  -0.0048  -0.000604  2e-06  
299  -0.52  -0.006  -0.000602  2e-06  
300  -0.52  -0.0052  -0.0006  2e-06  
301  -0.6  -0.006  -0.000598  2e-06  
302  -0.56  -0.0056  -0.000596  2e-06  
303  -0.48  -0.0064  -0.000594  2e-06  
304  -0.56  -0.006  -0.000592  2e-06  
305  -0.48  -0.0068  -0.00059  2e-06  
306  -0.48  -0.0064  -0.000588  2e-06  
307  -0.52  -0.0072  -0.000586  2e-06  
308  -0.52  -0.0068  -0.000584  2e-06  
309  -0.44  -0.0076  -0.000582  2e-06  
310  -0.44  -0.0072  -0.00058  2e-06  
311  -0.48  -0.008  -0.000578  2e-06  
312  -0.48  -0.0076  -0.000576  2e-06  
313  -0.4  -0.0084  -0.000574  2e-06  
314  -0.44  -0.008  -0.000572  2e-06  
315  -0.4  -0.0088  -0.00057  2e-06  
316  -0.44  -0.0084  -0.000568  2e-06  
317  -0.36  -0.0092  -0.000566  2e-06  
318  -0.36  -0.0088  -0.000564  2e-06  
319  -0.4  -0.0096  -0.000562  2e-06  
320  -0.4  -0.01  -0.00056  2e-06  
321  -0.32  -0.0092  -0.000558  2e-06  
322  -0.36  -0.0096  -0.000556  2e-06  
323  -0.28  -0.0108  -0.000554  2e-06  
324  -0.28  -0.01  -0.000552  2e-06  
325  -0.32  -0.0112  -0.00055  2e-06  
326  -0.32  -0.0104  -0.000548  2e-06  
327  -0.24  -0.0116  -0.000546  2e-06  
328  -0.24  -0.0112  -0.000544  2e-06  
329  -0.28  -0.012  -0.000542  2e-06  
330  -0.2  -0.0116  -0.00054  2e-06  
331  -0.28  -0.0124  -0.000538  2e-06  
332  -0.2  -0.012  -0.000536  2e-06  
333  -0.16  -0.0128  -0.000534  2e-06  
334  -0.16  -0.0124  -0.000532  2e-06  
335  -0.12  -0.0132  -0.00053  2e-06  
336  -0.16  -0.0128  -0.000528  2e-06  
337  -0.08  -0.014  -0.000526  2e-06  
338  -0.12  -0.0132  -0.000524  2e-06  
339  -0.08  -0.0144  -0.000522  2e-06  
340  -0.08  -0.0136  -0.00052  2e-06  
341  -0.04  -0.0148  -0.000518  2e-06  
342  -0.08  -0.0144  -0.000516  2e-06  
343  0.0  -0.0152  -0.000514  2e-06  
344  -0.04  -0.0148  -0.000512  2e-06  
345  0.04  -0.0156  -0.00051  2e-06  
346  0.04  -0.0148  -0.000508  2e-06  
347  0.0  -0.016  -0.000506  2e-06  
348  0.0  -0.0152  -0.000504  2e-06  
349  0.08  -0.016  -0.000502  2e-06  
350  0.04  -0.0164  -0.0005  2e-06  
351  0.12  -0.0156  -0.000498  2e-06  
352  0.12  -0.016  -0.000496  2e-06  
353  0.08  -0.0168  -0.000494  2e-06  
354  0.16  -0.0164  -0.000492  2e-06  
355  0.12  -0.0168  -0.00049  2e-06  
356  0.12  -0.0164  -0.000488  2e-06  
357  0.2  -0.0172  -0.000486  2e-06  
358  0.16  -0.0172  -0.000484  2e-06  
359  0.24  -0.0164  -0.000482  2e-06  
360  0.2  -0.0168  -0.00048  2e-06  
361  0.28  -0.0164  -0.000478  2e-06  
362  0.2  -0.0168  -0.000476  2e-06  
